Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01,November02,November03,November04,November05,November06,November07,November08,November09,November10,November11,November12,November13,November14,November15,November16,November17,November18,November19,November20,November21,November22,November23,November24,November25,November26,November27,November28,November29,November30,December01,December02,December03,December04,December05,December06,December07,December08
Dominican Republic,"12,229","13,282","14,373","15,583","57,809","16,973","18,261","18,261","18,261","21,284","22,498","22,498","23,979","25,368","25,368","25,368","30,102","30,102","33,377","33,377","33,377","36,959","38,543","40,591","42,615","42,615","42,615","42,615","47,774","50,108","50,108","50,108","50,108","50,108","59,976","61,330","61,330","65,355","65,355","69,608","69,608","70,972","74,612","76,930","76,930","81,647","81,647","84,638","86,285","86,285","90,141","90,141","94,511","94,511","94,511","100,035","100,035","100,035","107,175","107,175","110,781","112,603","114,535","117,119","119,319","122,646","125,868","128,775","130,745","133,718","135,969","135,969","142,340","146,060","148,208","150,919","154,129","154,129","160,541","163,727","163,727","169,999","169,999","174,751","178,838","182,263","182,263","189,391","189,391","189,391","198,496","201,669","201,669","209,252","213,085","216,481","216,481","222,586","222,586","222,586","235,289","235,289","244,643","246,953","250,424","255,356","260,171","260,171","260,171","268,529","268,529","278,435","281,926","281,926","290,267","290,267","297,492","300,134","304,501","308,187","313,291","317,643","322,056","324,463","326,644","331,160","335,478","339,860","343,796","343,796","350,033","350,033","355,839","358,533","360,999","363,807","367,146","370,875","373,001","376,121","379,929","379,929","391,190","394,791","394,791","400,138","403,755","408,014","408,014","408,014","419,327","422,070","422,070","422,070","422,070","422,070","442,354","446,239","446,239","452,188","455,525","458,581","462,287","462,287","470,261","472,421","474,030","477,407","481,002","484,751","488,732","493,091","496,200","498,081","502,680","506,418","510,984","515,598","519,366","522,112","523,637","528,987","531,666","535,572","539,053","542,227","545,492","547,737","551,041","554,736","558,508","563,639","567,976","570,751","570,751","578,567","582,708","588,002","594,704","598,728","602,101","605,360","609,031","612,758","616,366","619,292","622,881","625,828","629,295","630,586","633,837","640,206","644,538","648,559","652,070","655,291","659,160","665,035","670,174","676,578","682,193","685,707","687,292","690,728","698,990","704,580","711,049","715,862","718,735","720,805","727,606","732,425","738,156","746,654","753,133","757,043","761,012"
Malaysia,"87,183","96,695","100,794","103,892","108,216","108,216","113,755","117,406","121,722","126,970","131,491","144,686","152,142","160,296","160,296","168,784","184,213","195,833","205,598","213,220","222,150","231,019","245,102","245,102","256,937","271,721","271,721","271,721","271,721","424,306","434,136","443,263","443,263","462,257","471,318","481,411","491,729","500,469","507,682","513,370","519,944","519,944","519,944","519,944","546,368","553,183","560,738","560,738","560,738","560,738","560,738","560,738","560,738","618,360","618,360","618,360","618,360","618,360","618,360","618,360","656,210","659,632","664,334","669,589","674,551","679,826","683,968","686,905","693,603","704,336","716,178","729,116","739,458","749,950","756,171","764,999","764,999","782,638","782,638","797,796","804,518","810,057","816,118","822,646","829,988","836,255","842,476","847,510","850,423","850,423","861,896","868,394","868,394","868,394","889,744","889,744","902,439","902,439","916,340","925,188","925,188","937,645","937,645","937,645","955,133","963,079","970,644","970,644","979,178","983,297","991,333","991,333","991,333","991,333","1,036,339","1,036,339","1,036,339","1,063,304","1,074,020","1,085,040","1,095,768","1,106,217","1,114,246","1,114,246","1,114,246","1,114,246","1,152,140","1,160,390","1,160,390","1,176,416","1,182,845","1,182,845","1,191,500","1,212,790","1,222,854","1,232,927","1,243,540","1,253,855","1,253,855","1,270,229","1,280,878","1,280,878","1,299,724","1,307,454","1,307,454","1,307,454","1,332,917","1,332,917","1,353,826","1,353,826","1,372,154","1,372,154","1,372,154","1,407,259","1,417,154","1,417,154","1,417,154","1,417,154","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,451,697","1,581,208","1,581,208","1,581,208","1,581,208","1,627,612","1,627,612","1,627,612","1,627,612","1,627,612","1,627,612","1,627,612","1,627,612","1,786,829","1,810,777","1,839,700","1,863,037","1,885,847","1,903,515","1,921,435","1,940,261","1,956,010","1,973,780","1,989,231","2,006,716","2,025,727","2,044,398","2,064,016","2,083,700","2,101,890","2,118,966","2,137,657","2,156,958","2,176,725","2,198,172","2,215,701","2,238,559","2,258,128","2,275,234","2,291,344","2,309,836","2,329,033","2,349,211","2,366,985","2,385,504","2,401,043","2,401,043","2,433,079","2,451,545","2,472,687","2,472,687","2,510,332","2,510,332","2,543,655","2,559,417","2,577,387","2,596,004","2,596,004","2,634,998","2,650,368","2,667,756","2,686,452","2,707,207","2,728,936","2,748,881","2,769,720","2,787,102","2,806,767","2,827,083"
Panama,"16,854","17,850","18,559","19,091","19,091","20,996","21,902","22,702","23,534","24,304","25,400","26,642","27,834","28,795","29,837","30,749","31,895","33,354","34,459","35,556","36,483","38,014","39,093","40,356","40,356","42,657","43,663","44,561","45,873","46,898","47,768","49,104","50,348","51,815","52,641","53,928","55,018","56,755","58,240","59,339","60,598","61,895","63,202","63,202","66,192","67,730","67,730","69,483","69,483","72,697","72,697","72,697","72,697","72,697","80,720","82,774","82,774","87,041","89,736","91,637","93,646","93,646","97,402","99,870","102,703","105,470","105,470","107,903","111,735","111,735","117,266","117,266","122,668","125,570","128,795","130,776","133,449","135,801","138,081","141,283","144,918","148,115","150,542","153,148","155,605","158,669","161,466","164,927","168,517","168,517","174,345","177,843","180,814","183,261","187,041","189,941","192,085","194,599","197,605","200,986","203,600","207,908","211,373","213,597","216,730","219,942","222,990","226,596","229,831","232,514","234,954","237,489","240,995","244,280","247,212","247,212","252,381","255,418","258,224","261,350","264,046","268,180","271,486","273,685","276,389","282,232","287,300","287,300","297,451","305,030","308,435","313,342","317,156","321,482","326,597","326,597","334,297","339,893","343,407","347,147","350,669","350,669","361,181","366,130","369,420","374,599","379,450","384,525","389,532","394,728","399,197","402,072","406,812","412,265","417,620","423,054","428,842","433,808","437,706","442,249","447,769","453,919","459,451","464,739","468,323","472,799","477,033","482,245","488,048","493,485","499,050","504,299","508,442","514,367","520,582","526,418","533,146","540,175","544,735","548,807","553,942","560,564","567,540","574,012","578,200","582,974","585,821","591,504","600,018","607,766","614,675","621,118","627,775","631,430","638,429","646,325","654,264","662,367","669,813","676,295","680,908","686,698","689,899","694,228","701,637","708,085","715,094","720,441","727,520","733,808","740,901","750,055","755,576","765,482","772,702","781,650","790,855","801,470","811,323","822,413","832,079","838,981","848,601","858,579","869,552","880,590","891,526","900,224","907,285","916,423","927,315","942,262","955,664","970,591","980,089","988,059","999,313"
Bangladesh,"17,003","19,193","21,307","23,941","26,604","29,578","32,630","36,090","39,476","43,113","46,589","50,401","54,733","59,701","64,666","70,239","76,066","81,434","87,694","93,405","99,646","105,513","111,401","116,919","122,657","129,865","136,638","144,538","151,930","160,512","167,114","175,228","185,086","193,645","203,852","214,114","223,841","234,675","243,583","253,034","258,550","266,456","275,776","287,067","297,054","308,940","320,969","333,073","345,583","358,277","372,365","384,851","397,987","410,841","425,595","441,560","457,332","473,322","489,960","504,465","519,503","533,717","551,244","570,503","585,548","599,579","615,164","630,719","647,011","663,444","681,443","699,941","715,098","733,197","751,034","769,460","787,335","805,697","820,347","835,074","849,062","863,307","876,480","892,152","907,784","921,272","932,465","943,524","955,947","966,400","980,402","993,291","1,006,751","1,017,674","1,028,299","1,041,661","1,054,559","1,066,609","1,079,007","1,091,034","1,101,480","1,111,558","1,124,417","1,137,131","1,151,258","1,164,195","1,176,809","1,185,611","1,189,295","1,193,544","1,201,256","1,212,416","1,225,124","1,237,823","1,249,560","1,260,319","1,273,168","1,287,988","1,302,739","1,315,901","1,328,757","1,341,648","1,351,666","1,364,189","1,378,819","1,393,497","1,407,556","1,420,449","1,431,855","1,442,656","1,456,038","1,470,191","1,485,261","1,500,385","1,514,126","1,525,815","1,537,749","1,550,203","1,562,412","1,577,616","1,592,038","1,605,111","1,617,958","1,629,312","1,644,724","1,659,697","1,674,452","1,690,011","1,704,758","1,715,481","1,728,480","1,742,696","1,756,746","1,770,106","1,783,779","1,796,509","1,809,679","1,821,270","1,834,323","1,848,487","1,862,637","1,875,537","1,888,010","1,898,775","1,909,460","1,921,382","1,934,251","1,947,655","1,959,075","1,970,251","1,979,805","1,989,664","2,001,431","2,013,776","2,026,808","2,039,413","2,050,669","2,061,528","2,070,995","2,084,222","2,098,037","2,112,448","2,126,552","2,140,129","2,151,702","2,163,568","2,178,714","2,192,325","2,206,411","2,221,369","2,235,488","2,246,486","2,257,589","2,271,347","2,283,964","2,296,321","2,310,589","2,324,730","2,336,262","2,348,811","2,361,702","2,375,763","2,389,677","2,404,902","2,418,423","2,429,842","2,442,602","2,456,644","2,470,164","2,484,688","2,501,800","2,515,339","2,527,134","2,541,194","2,556,962","2,572,952","2,589,421","2,606,952","2,622,559","2,635,202","2,649,072","2,665,131","2,680,149","2,696,150","2,713,202","2,729,580","2,743,592","2,757,329","2,772,701","2,788,202","2,804,174","2,820,981","2,836,411","2,849,951","2,863,169","2,877,538","2,894,622"
Colombia,"52,085","52,085","59,002","62,746","62,746","65,169","71,500","71,500","78,078","78,078","87,199","90,899","90,899","95,085","104,657","104,657","108,950","114,602","123,029","127,105","131,110","131,110","139,739","139,739","144,912","151,396","165,738","165,738","165,738","177,050","190,114","190,114","190,114","201,808","214,536","214,536","235,948","235,948","252,742","252,742","260,812","271,118","283,346","283,346","306,411","319,779","319,779","350,213","362,432","374,592","386,938","399,505","410,719","421,725","432,870","444,933","458,324","470,351","482,832","495,024","507,588","519,990","535,220","550,611","568,324","585,822","604,273","620,288","634,611","651,592","670,093","688,959","707,688","725,828","743,437","760,719","778,773","798,108","818,703","839,731","860,731","881,190","902,305","923,714","945,240","968,465","1,006,093","1,031,230","1,056,814","1,082,415","1,082,415","1,113,507","1,159,562","1,185,984","1,210,063","1,236,569","1,263,700","1,292,501","1,320,935","1,349,502","1,379,043","1,409,124","1,439,436","1,470,613","1,502,809","1,537,689","1,573,679","1,609,729","1,647,396","1,685,530","1,723,508","1,761,772","1,801,835","1,842,292","1,877,368","1,909,111","1,942,730","1,982,831","2,023,256","2,063,332","2,104,766","2,143,097","2,225,388","2,259,743","2,299,226","2,337,241","2,374,898","2,409,706","2,450,441","2,474,417","2,508,972","2,546,147","2,582,612","2,619,712","2,654,983","2,685,355","2,715,591","2,746,217","2,777,107","2,810,137","2,844,145","2,880,158","2,906,270","2,936,517","2,964,722","2,996,911","3,028,754","3,062,852","3,100,659","3,132,861","3,164,001","3,194,202","3,213,298","3,247,366","3,298,415","3,332,152","3,364,500","3,393,562","3,424,537","3,460,714","3,499,136","3,534,650","3,571,117","3,605,075","3,636,868","3,668,126","3,702,605","3,737,898","3,776,280","3,818,824","3,861,628","3,894,289","3,930,262","3,967,885","4,005,437","4,047,592","4,097,223","4,141,602","4,173,863","4,202,181","4,234,813","4,270,936","4,314,510","4,357,639","4,401,530","4,433,518","4,467,051","4,516,832","4,564,070","4,615,614","4,668,341","4,718,734","4,748,744","4,789,625","4,838,104","4,887,294","4,940,714","4,992,137","5,079,380","5,095,049","5,126,096","5,164,329","5,215,323","5,258,238","5,320,872","5,369,531","5,402,433","5,451,307","5,500,745","5,549,461","5,602,354","5,652,986","5,708,597","5,735,021","5,766,981","5,808,870","5,856,330","5,903,975","5,955,489","6,010,654","6,044,047","6,082,745","6,135,966","6,186,303","6,245,488","6,296,869","6,352,377","6,392,655","6,429,234","6,479,003","6,535,154","6,592,775","6,649,697","6,702,477","6,737,972","6,775,084","6,814,795"
Finland,"49,700","52,500","55,600","57,300","59,200","61,800","68,552","71,000","74,500","77,800","80,300","82,437","85,800","89,800","93,900","97,600","101,800","102,300","103,500","106,300","108,200","112,100","116,500","119,100","121,500","123,300","126,500","133,200","137,000","140,600","143,900","146,800","149,700","152,300","156,200","160,177","163,000","165,600","166,900","168,700","171,575","173,313","176,650","179,400","182,700","184,408","185,484","190,800","192,800","195,400","198,647","200,500","201,000","203,439","205,600","208,300","211,900","214,800","217,300","219,500","219,900","222,500","224,400","224,400","224,400","224,400","224,400","230,500","234,000","235,500","235,500","237,500","237,500","237,500","237,500","243,100","246,000","248,900","251,600","251,600","251,600","255,500","255,500","266,600","270,400","275,000","275,000","275,000","278,800","278,800","291,100","294,900","300,400","305,908","306,192","311,200","317,837","321,168","321,168","330,561","330,561","339,225","341,000","347,472","349,097","354,342","359,461","365,981","366,171","367,814","380,801","385,200","389,500","398,554","407,984","408,304","408,540","424,000","431,318","440,588","453,576","460,908","467,080","470,300","500,021","510,428","517,936","533,703","548,857","549,303","551,715","574,141","596,091","605,929","615,789","636,019","637,159","639,500","668,494","688,858","702,191","715,665","730,211","737,733","745,000","760,700","768,700","778,851","789,443","800,466","802,784","812,249","828,302","837,173","851,605","866,092","878,728","882,126","891,180","908,052","926,792","937,004","950,576","960,156","960,659","975,893","1,026,084","1,038,721","1,050,541","1,062,584","1,071,331","1,081,369","1,084,319","1,104,828","1,111,771","1,122,200","1,159,747","1,170,662","1,175,873","1,190,927","1,213,000","1,248,890","1,266,373","1,279,191","1,287,952","1,299,394","1,301,424","1,328,127","1,333,984","1,351,599","1,362,069","1,371,913","1,403,061","1,405,603","1,448,500","1,460,811","1,504,430","1,512,490","1,532,639","1,537,594","1,541,169","1,548,931","1,565,694","1,575,708","1,596,308","1,596,308","1,619,352","1,619,634","1,655,627","1,659,264","1,681,594","1,695,326","1,708,992","1,710,217","1,723,663","1,739,850","1,751,896","1,767,010","1,782,294","1,791,727","1,816,737","1,818,817","1,828,805","1,858,467","1,872,653","1,880,144","1,930,392","1,934,071","1,934,470","1,960,016","1,971,368","1,984,815","2,033,123","2,047,284","2,049,857","2,050,313","2,101,955"
South Africa,"95,060","100,827","108,021","114,711","121,510","126,937","133,774","143,570","152,390","161,004","168,643","178,470","185,000","197,127","207,530","217,522","230,686","245,747","257,541","268,064","279,379","292,153","307,752","324,079","341,336","356,067","369,697","386,352","403,018","421,555","439,559","460,873","475,071","488,609","506,861","525,433","543,032","564,370","583,855","596,777","605,991","634,996","655,723","680,175","701,883","725,125","742,742","761,534","785,979","820,675","850,871","891,668","920,064","943,059","968,070","998,400","1,028,399","1,060,425","1,087,887","1,121,958","1,148,933","1,148,933","1,200,736","1,228,098","1,260,434","1,293,608","1,328,060","1,353,176","1,382,772","1,416,894","1,460,012","1,493,104","1,529,009","1,567,084","1,596,995","1,630,008","1,666,939","1,706,127","1,745,153","1,792,078","1,830,161","1,864,111","1,907,532","1,944,399","2,000,569","2,057,232","2,108,570","2,154,391","2,194,624","2,232,738","2,278,127","2,324,923","2,373,053","2,422,741","2,471,747","2,505,646","2,536,921","2,585,474","2,632,106","2,684,488","2,730,812","2,773,778","2,802,211","2,830,635","2,873,163","2,918,049","2,959,535","3,001,985","3,036,779","3,058,695","3,078,202","3,113,191","3,149,807","3,183,658","3,220,265","3,250,583","3,267,494","3,278,977","3,295,434","3,315,497","3,351,111","3,378,029","3,400,638","3,415,670","3,430,347","3,455,671","3,480,283","3,504,507","3,535,067","3,553,425","3,564,065","3,578,836","3,598,973","3,617,982","3,632,311","3,652,970","3,674,872","3,693,721","3,705,408","3,726,721","3,747,101","3,765,700","3,783,823","3,800,190","3,808,949","3,821,162","3,842,898","3,863,453","3,884,166","3,902,786","3,918,478","3,928,614","3,940,217","3,961,179","3,983,533","4,003,590","4,024,659","4,041,453","4,047,723","4,064,117","4,083,757","4,102,162","4,117,079","4,128,438","4,143,466","4,152,480","4,164,491","4,187,917","4,209,049","4,229,709","4,251,513","4,269,626","4,280,340","4,294,931","4,318,514","4,339,686","4,360,105","4,388,171","4,407,441","4,418,418","4,433,952","4,458,745","4,481,354","4,505,533","4,528,141","4,549,478","4,565,980","4,581,346","4,607,883","4,633,671","4,657,116","4,677,942","4,697,939","4,709,403","4,726,875","4,752,596","4,777,609","4,800,823","4,822,973","4,842,516","4,852,918","4,868,610","4,893,683","4,917,625","4,940,719","4,963,174","4,980,440","4,993,081","5,010,350","5,037,782","5,063,457","5,086,887","5,110,384","5,110,384","5,142,947","5,160,877","5,189,580","5,214,036","5,243,055","5,269,062","5,290,966","5,305,343","5,325,631","5,355,068","5,383,078","5,383,078","5,383,078","5,383,078","5,383,078","5,383,078","5,468,670","5,500,669","5,534,084","5,565,928","5,592,663","5,611,915","5,640,042"
Egypt,"25,000","25,000","55,000","55,000","55,000","55,000","55,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","90,000","105,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","135,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000"
Morocco,"11,996","12,952","13,689","15,123","16,386","18,100","19,885","21,947","23,933","25,443","27,399","29,254","32,250","32,930","34,841","37,006","39,367","42,112","45,302","49,570","52,958","56,492","59,871","63,059","65,924","68,980","71,815","75,870","77,922","81,616","85,004","89,957","94,595","100,367","104,915","112,997","123,402","133,561","142,882","152,203","161,365","170,713","180,189","190,061","199,998","209,139","221,554","234,651","247,824","261,010","275,349","289,457","305,953","322,703","335,643","356,051","372,591","389,142","405,898","422,520","439,272","455,768","471,736","488,947","505,636","522,166","530,578","556,695","575,176","591,757","600,383","620,435","633,494","646,195","662,814","681,191","698,128","715,853","728,366","748,449","765,580","783,639","801,287","819,124","835,264","849,097","864,594","878,626","896,638","915,140","924,695","953,715","973,404","990,514","1,009,326","1,027,773","1,046,806","1,065,833","1,085,490","1,105,271","1,126,213","1,147,173","1,168,113","1,188,801","1,210,035","1,231,195","1,252,365","1,273,939","1,295,194","1,316,861","1,338,989","1,361,550","1,383,816","1,405,159","1,427,635","1,449,968","1,449,968","1,494,096","1,516,402","1,538,520","1,560,527","1,583,234","1,605,613","1,626,810","1,648,728","1,670,569","1,670,569","1,670,569","1,736,976","1,758,870","1,779,980","1,802,170","1,824,251","1,846,260","1,868,545","1,890,964","1,890,964","1,934,334","1,956,416","1,978,840","2,001,124","2,023,926","2,046,496","2,070,053","2,070,053","2,115,390","2,115,390","2,160,798","2,184,266","2,207,396","2,230,069","2,251,763","2,274,042","2,295,811","2,295,811","2,342,307","2,366,181","2,389,115","2,410,576","2,433,869","2,457,373","2,481,151","2,505,151","2,529,397","2,553,350","2,575,657","2,598,486","2,621,314","2,643,860","2,666,458","2,689,136","2,711,203","2,731,907","2,753,882","2,778,365","2,803,491","2,828,653","2,853,784","2,877,502","2,897,811","2,922,011","2,946,459","2,969,887","2,993,488","3,017,488","3,040,181","3,061,219","3,084,528","3,107,430","3,130,766","3,153,471","3,176,249","3,197,617","3,217,978","3,240,758","3,262,844","3,285,045","3,305,323","3,326,650","3,347,872","3,367,671","3,388,542","3,410,053","3,430,860","3,451,451","3,471,444","3,491,314","3,510,417","3,531,400","3,553,127","3,576,692","3,600,396","3,623,519","3,646,330","3,664,662","3,688,225","3,711,044","3,733,534","3,753,724","3,776,678","3,796,876","3,814,442","3,833,549","3,854,502","3,875,930","3,897,947","3,920,170","3,939,350","3,953,900","3,974,785","3,995,885","4,016,991","4,038,601","4,058,751","4,074,451","4,086,436","4,103,482"
Argentina,"26,457","28,650","30,942","32,712","34,568","36,611","39,228","41,786","44,654","47,406","49,905","49,905","53,600","56,058","58,685","61,530","63,866","65,813","67,920","69,718","72,315","75,198","77,901","80,729","83,018","85,158","87,547","90,474","93,673","96,893","100,362","103,220","105,829","108,634","112,370","116,689","121,278","125,893","129,418","133,468","136,662","140,218","145,081","150,486","155,407","160,070","164,084","164,084","172,947","178,448","183,862","189,278","193,923","198,520","203,051","208,519","208,519","221,305","228,324","234,370","239,941","245,059","250,615","250,615","264,604","264,604","279,672","285,391","292,511","300,345","309,601","318,721","329,036","336,951","344,409","352,402","362,908","372,108","381,431","390,382","399,454","406,210","414,697","423,782","434,692","445,733","456,042","466,308","474,422","483,799","495,065","508,228","519,281","531,753","541,238","552,306","563,513","578,202","593,044","609,262","623,893","636,844","647,714","660,112","675,011","690,823","707,508","722,950","736,007","747,907","760,746","777,278","794,544","812,564","830,057","845,220","856,055","872,643","891,817","911,596","930,097","949,170","966,926","966,926","994,942","1,012,979","1,030,992","1,052,687","1,073,719","1,092,556","1,105,878","1,127,098","1,148,574","1,172,811","1,196,878","1,222,359","1,242,269","1,257,906","1,277,751","1,300,866","1,324,687","1,350,038","1,374,524","1,396,887","1,412,149","1,412,149","1,458,619","1,485,790","1,513,847","1,540,101","1,563,241","1,563,241","1,602,403","1,628,194","1,653,616","1,682,249","1,707,947","1,729,040","1,765,069","1,790,835","1,815,738","1,842,991","1,868,089","1,890,190","1,905,361","1,926,717","1,951,789","1,951,789","2,002,975","2,030,512","2,051,037","2,064,250","2,084,513","2,110,994","2,140,435","2,166,276","2,191,450","2,211,321","2,225,558","2,239,514","2,260,058","2,283,577","2,311,239","2,338,651","2,359,606","2,373,496","2,626,406","2,663,880","2,702,220","2,741,416","2,777,087","2,804,114","2,823,654","2,850,102","2,882,949","2,915,776","2,947,344","2,980,105","3,006,804","3,022,449","3,047,313","3,078,312","3,114,747","3,142,837","3,177,564","3,214,626","3,228,651","3,258,221","3,289,756","3,346,229","3,377,749","3,409,487","3,434,801","3,452,519","3,474,091","3,508,664","3,508,664","3,585,077","3,622,893","3,661,948","3,677,688","3,690,837","3,712,880","3,742,317","3,775,098","3,830,421","3,855,893","3,873,231","3,892,522","3,926,286","3,975,760","4,022,872","4,055,795","4,084,362","4,101,188","4,111,139","4,124,441"
Luxembourg,"31,660","32,394","33,252","33,666","33,798","34,962","36,087","36,891","37,782","38,514","39,003","39,102","39,741","41,758","42,643","44,895","47,460","48,118","48,339","49,299","50,533","51,883","53,257","54,463","55,250","55,415","56,394","57,687","58,727","59,987","60,246","62,153","62,260","63,011","64,018","64,981","65,724","66,653","67,729","68,107","68,829","70,148","71,098","72,996","74,366","75,432","75,594","78,026","79,484","82,377","83,673","84,934","88,051","88,234","88,914","88,914","98,232","101,877","106,062","106,604","110,946","116,869","124,071","132,501","138,497","144,103","148,014","149,368","154,881","156,089","156,089","168,786","172,292","177,217","178,422","185,322","191,282","198,947","207,809","219,471","224,953","226,761","237,755","246,856","255,709","266,437","273,866","278,388","281,431","292,711","302,812","314,956","325,741","333,457","344,744","348,610","357,637","370,539","375,256","387,437","394,582","399,477","400,903","410,443","410,443","410,443","578,592","588,965","596,354","596,354","604,696","613,923","623,994","631,466","638,326","644,901","647,643","653,707","661,307","667,333","672,717","682,119","685,126","685,935","689,916","696,415","706,629","712,774","722,246","724,452","730,208","733,651","741,807","741,807","626,926","633,773","640,388","641,144","646,620","655,169","664,199","671,599","680,797","688,148","689,354","694,495","704,513","712,262","721,126","730,737","738,549","739,752","748,149","758,327","767,693","771,950","776,619","780,273","781,263","787,746","793,895","800,045","806,163","812,220","817,514","818,380","823,852","830,958","837,068","843,559","849,977","856,485","856,798","862,757","869,412","876,439","883,804","890,487","895,762","897,152","903,862","911,546","918,103","927,726","935,918","944,536","945,919","951,944","960,009","972,457","983,307","995,255","1,005,621","1,008,089","1,017,308","1,030,089","1,039,049","1,051,725","1,065,644","1,079,159","1,087,076","1,095,526","1,106,739","1,119,084","1,131,669","1,144,420","1,154,898","1,157,119","1,168,160","1,179,931","1,192,911","1,206,031","1,216,886","1,226,544","1,228,102","1,237,169","1,251,446","1,262,569","1,274,382","1,284,620","1,296,335","1,300,901","1,311,349","1,325,017","1,338,559","1,350,343","1,361,939","1,372,396","1,374,203","1,383,631","1,395,562","1,407,284","1,418,680","1,418,680","1,418,680","1,446,528","1,446,528"
