Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23,August24,August25,August26,August27,August28,August29,August30,August31,September01,September02,September03,September04,September05,September06,September07,September08,September09,September10,September11,September12,September13,September14,September15,September16,September17,September18,September19,September20,September21,September22,September23,September24,September25,September26,September27,September28,September29,September30,October01,October02,October03,October04,October05,October06,October07,October08,October09,October10,October11,October12,October13,October14,October15,October16,October17,October18,October19,October20,October21,October22,October23,October24,October25,October26,October27,October28,October29,October30,October31,November01,November02,November03,November04,November05,November06,November07,November08,November09,November10,November11,November12,November13,November14,November15,November16,November17,November18,November19,November20,November21,November22,November23,November24,November25,November26,November27,November28,November29,November30,December01,December02,December03,December04,December05,December06,December07,December08,December09,December10,December11,December12,December13,December14,December15,December16,December17,December18,December19,December20,December21,December22,December23,December24,December25,December26,December27,December28,December29,December30,December31,Jan01_2021,Jan02_2021,Jan03_2021,Jan04_2021,Jan05_2021,Jan06_2021,Jan07_2021,Jan08_2021,Jan09_2021,Jan10_2021,Jan11_2021,Jan12_2021,Jan13_2021,Jan14_2021,Jan15_2021,Jan16_2021,Jan17_2021,Jan18_2021,Jan19_2021,Jan20_2021,Jan21_2021,Jan22_2021,Jan23_2021,Jan24_2021,Jan25_2021,Jan26_2021,Jan27_2021,Jan28_2021,Jan29_2021,Jan30_2021,Jan31_2021,Feb01_2021,Feb02_2021,Feb03_2021,Feb04_2021,Feb05_2021,Feb06_2021
Qatar,"19,570","20,245","20,874","21,707","22,429","23,160","24,301","25,497","26,340","27,665","28,562","29,749","30,755","31,730","32,801","33,920","35,309","36,249","37,068","38,098","39,209","40,435","41,810","43,232","44,348","45,485","46,960","48,290","50,074","51,545","53,118","54,809","56,241","57,799","59,276","61,028","62,819","64,260","65,422","66,928","68,290","69,945",11,"74,012","75,779","77,194","80,461","82,306","84,207","85,863","87,742","89,533","91,008","92,473","94,392","96,148","97,868","99,959","102,155","103,538","105,185","107,023","108,555","110,289","111,653","113,147","114,250","115,596","117,152","118,659","120,199","121,773","123,118","124,351","125,600","127,086","128,393","130,385","132,490","134,226","135,848","137,513","139,254","141,106","142,733","144,194","145,736","146,977","148,275","149,814","151,313","153,380","155,133","156,346","157,311","158,856","160,684","162,332","163,588","165,494","167,034","168,260","169,953","171,639","173,600","175,428","176,429","177,600","178,266","179,069","179,909","180,952","181,993","183,036","184,067","185,326","186,789","188,506","190,182","191,823","193,218","194,559","196,336","198,009","199,797","201,586","203,815","205,542","208,035","210,100","211,630","213,493","215,155","216,987","218,802","220,859","222,455","224,314","226,064","227,844","229,683","231,586","233,269","235,062","236,358","237,885","239,368","240,818","242,408","244,262","246,111","247,676","249,453","251,079","252,557","254,356","256,092","257,880","259,828","261,464","263,227","265,378","267,506","269,023","270,769","272,428","274,311","276,342","278,199","280,014","281,866","283,413","285,105","286,831","288,491","290,270","292,174","294,006","296,296","298,271","300,436","302,634","304,563","306,729","309,800","312,465","315,615","318,019","320,335","323,699","327,141","330,358","332,745","336,212","338,354","341,931","345,508","345,893","347,435","348,675","350,563","352,586","354,533","356,680","358,661","360,084","361,787","363,671","365,234","367,063","368,950","370,649","372,132","373,540","375,326","376,956","378,607","380,282","381,832","383,178","384,844","386,338","387,816","389,137","390,831","392,117","393,498","394,642","396,192","397,492","399,140","400,907","402,337","403,545","404,738","406,173","407,786","409,460","411,325","413,051","414,245","415,633","417,383","418,773","420,271","422,146","423,738","424,636","426,025","427,311","428,545","430,001","431,587","433,046","434,295","435,749","437,170","438,738","440,270","442,127","443,355","444,606","446,054","447,751","449,446","451,122","453,296","455,286","456,710","458,247","459,909","461,592","463,370","465,302","467,183","468,132","469,395","471,248","473,055","475,042","477,258","478,834","479,959","481,794","483,530","485,355","487,557","489,508","491,368","492,793","494,486","496,341","498,428","500,904","503,578","505,468","506,482"
Indonesia,132,136,144,154,160,184,204,219,234,248,264,275,291,318,346,374,395,413,427,444,444,490,526,552,579,590,604,619,636,654,669,688,698,743,776,805,839,877,910,940,967,"1,019",5,"1,100","1,141","1,183","1,220","1,253","1,297","1,345","1,394","1,442","1,485","1,511","1,570","1,635","1,696","1,752","1,813","1,881","1,913","1,976","2,048","2,123","2,199","2,272","2,338","2,378","2,444","2,521","2,592","2,676","2,755","2,818","2,861","2,939","3,019","3,104","3,186","3,270","3,347","3,393","3,458","3,539","3,626","3,712","3,797","3,879","3,927","4,011","4,102","4,189","4,295","4,389","4,464","4,515","4,596","4,688","4,790","4,790","4,973","5,048","5,095","5,178","5,288","5,398","5,502","5,543","5,616","5,669","5,753","5,753","5,965","6,075","6,186","6,266","6,324","6,323","6,513","6,607","6,702","6,802","6,894","6,939","6,992","6,991","7,192","7,264","7,354","7,435","7,506","7,505","7,690","7,798","7,918","8,024","8,118","8,118","8,287","8,399","8,535","8,667","8,779","8,881","8,948","9,066","9,175","9,302","9,418","9,559","9,668","9,750","9,906","10,050","10,203","10,364","10,526","10,660","10,760","10,920","11,059","11,214","11,382","11,560","11,695","11,812","11,947","12,113","12,272","12,271","12,584","12,718","12,816","12,948","13,109","13,267","13,429","13,584","13,716","13,859","14,043","14,189","14,343","14,494","14,651","14,783","14,915","15,028","15,186","15,346","15,499","15,644","15,767","15,767","15,992","16,139","16,264","16,354","16,459","16,543","16,640","16,639","16,897","17,041","17,040","17,318","17,317","17,571","17,691","17,834","17,834","18,141","18,291","18,410","18,536","18,680","18,832","19,005","19,157","19,314","19,444","19,589","19,734","19,899","20,086","20,263","20,432","20,587","20,733","20,918","21,130","21,356","21,572","21,771","21,955","22,052","22,243","22,447","22,562","22,823","23,038","23,223","23,375","23,596","23,818","24,038","24,283","24,515","24,689","24,825","25,005","25,196","25,417","25,417","25,761","25,913","26,039","26,275","26,540","26,749","26,897","27,018","27,168","27,334","27,553","27,799","28,046","28,287","28,494","28,660","28,798","29,053","29,313","29,568","29,832","30,061","30,228","30,400","30,656","30,868","31,113","31,395","31,643","31,816","32,004","32,276","32,558","32,874","33,154","33,408","33,569","33,743","34,003","34,274","34,523","34,799","35,035"
Ukraine,979,"1,077","1,201","1,306","1,328","1,418","1,544","1,653","1,778","1,911","2,044","2,138","2,257","2,390","2,558","2,711","2,807","2,966","3,078","3,196","3,299","3,466","3,639","3,821","4,034","4,151","4,283","4,396","4,627","4,835","5,041","5,205","5,322","5,483","5,679","5,893","6,106","6,346","6,527","6,670","6,896","7,143",15,"7,709","7,960","8,149","8,301","8,495","8,721","8,967","9,224","9,475","9,693","9,854","9,999","10,194","10,435","10,702","10,953","11,186","11,368","11,596","11,842","11,842","12,397","12,660","12,876","13,023","13,280","13,581","13,873","14,191","14,450","14,678","14,843","15,003","15,233","15,487","15,800","16,141","16,141","16,523","16,737","17,045","17,387","17,698","17,985","18,221","18,381","18,604","18,919","19,220","19,535","19,776","20,066","20,175","20,459","20,756","21,087","21,434","21,435","21,435","22,206","22,496","22,838","23,193","23,546","23,933","24,214","24,412","24,736","24,736","25,549","25,971","26,413","26,756","26,987","26,988","27,801","28,236","28,669","29,150","29,511","29,756","30,103","30,552","31,049","31,549","32,057","32,407","32,622","32,871","33,233","33,234","34,201","34,716","35,162","35,485","35,632","36,572","37,122","37,726","38,305","38,774","38,775","39,647","40,107","40,715","41,356","41,991","42,503","42,831","43,448","44,085","44,086","45,468","46,135","46,684","47,138","47,616","48,141","48,755","49,385","50,148","50,149","50,987","51,541","51,542","52,175","52,866","54,114","54,559","54,918","55,495","56,237","57,024","57,773","57,774","59,158","59,614","60,265","61,048","61,744","62,524","63,356","63,357","64,505","65,229","65,979","66,757","67,593","68,544","69,307","69,308","69,309","69,310","69,311","72,778","72,779","75,900","75,901","75,902","75,903","75,905","75,906","75,907","75,908","83,604","83,605","83,606","86,674","86,675","88,851","88,852","88,854","88,855","88,857","92,189","93,121","95,219","95,220","97,268","97,269","97,271","98,085","98,086","102,311","102,312","103,816","103,818","103,819","103,821","103,823","107,801","107,803","110,229","110,942","110,944","110,945","113,660","113,662","113,664","115,853","116,587","117,524","118,482","119,455","119,457","119,459","121,608","121,610","122,661","122,663","122,665","122,667","125,516","125,519","125,521","127,213","128,108","128,110","128,112","128,114","128,116","129,485","129,487","129,489","129,491","131,520","131,522","131,525","131,527","131,529","131,531","131,533","136,144","136,146","136,148","137,267","137,884","137,887","138,988","138,991","138,993","138,995","140,545","140,547","141,904","141,907","141,909","142,480","142,482","143,985","144,566","144,568","144,571","145,738"
Denmark,"14,223","15,024","15,786","16,277","16,616","17,358","18,726","20,134","21,638","23,607","25,364","26,900","28,805","31,087","33,349","35,665","38,312","40,364","42,262","44,497","46,732","49,114","51,533","53,345","54,873","56,379","57,709","59,686","61,833","63,715","76,785","78,693","79,971","82,056","84,765","87,093","88,905","90,894","92,872","94,404","96,620","99,487",98,"104,754","106,875","108,619","110,133","111,574","113,630","115,970","118,214","120,246","121,991","123,485","126,216","127,709","129,416","133,285","135,756","138,116","140,008","142,149","145,165","148,408","151,313","151,311","151,310","159,518","162,191","165,762","169,387","172,434","172,432","172,430","179,561","181,874","184,984","187,971","191,005","191,003","191,002","197,706","199,841","202,829","205,655","208,339","208,337","208,335","214,880","217,013","220,331","222,832","225,566","225,564","225,562","230,230","233,867","236,892","240,262","243,677","243,675","243,672","251,195","253,818","257,362","260,924","264,488","264,485","264,483","273,968","277,174","281,262","285,542","289,977","289,975","289,972","302,948","307,234","311,429","316,885","322,670","328,554","334,441","339,408","344,197","350,227","358,091","363,193","370,330","376,187","381,582","387,347","393,723","400,605","407,270","414,128","419,932","424,974","430,294","435,964","442,840","449,523","456,784","462,332","468,487","474,604","481,376","489,414","497,490","506,200","515,478","523,449","531,844","540,452","550,661","560,039","569,414","578,138","585,381","593,902","603,851","613,140","622,430","632,022","640,094","648,565","656,360","665,832","674,301","683,967","691,062","698,263","704,533","711,310","718,595","727,665","737,157","745,418","751,491","757,785","762,895","770,108","776,014","782,014","788,477","793,912","799,019","805,397","812,925","820,336","827,958","836,039","846,016","856,276","864,158","875,127","883,510","895,755","907,778","918,458","928,601","945,958","950,756","961,965","977,144","988,739","1,000,309","1,009,978","1,024,135","1,037,492","1,050,468","1,062,712","1,076,471","1,089,166","1,101,242","1,113,084","1,127,091","1,140,753","1,153,479","1,166,406","1,176,397","1,188,635","1,202,695","1,215,761","1,228,695","1,243,235","1,260,497","1,269,913","1,280,243","1,292,526","1,306,009","1,319,400","1,332,733","1,348,892","1,361,434","1,374,974","1,388,298","1,404,043","1,423,225","1,442,038","1,462,387","1,477,157","1,493,558","1,509,020","1,528,532","1,550,012","1,574,330","1,596,149","1,616,198","1,639,436","1,662,903","1,692,090","1,719,171","1,739,678","1,748,744","1,758,269","1,769,116","1,782,544","1,801,303","1,821,189","1,837,379","1,844,954","1,851,454","1,864,613","1,877,485","1,894,771","1,912,781","1,929,462","1,945,809","1,957,683","1,967,263","1,977,232","1,991,480","2,010,832","2,019,820","2,036,358","2,054,229","2,068,935","2,083,338","2,102,457","2,122,092","2,142,046","2,166,926","2,190,374","2,205,993","2,223,048","2,242,478","2,261,597","2,283,432","2,303,424","2,325,158","2,344,577","2,360,592","2,379,585","2,404,918","2,425,508","2,450,091"
Serbia,"3,373","3,727","4,123","4,429","4,785","5,191","5,566","5,874","6,282","6,860","7,360","7,773","8,396","9,035","9,802","10,478","11,060","11,664","12,185","12,736","13,445","14,077","14,742","15,397","16,091","16,665","17,317","17,923","18,623","19,295","19,990","20,737","21,208","21,814","22,524","23,315","24,002","24,507","24,924","25,209","25,601","26,255",28,"27,371","27,778","28,144","28,348","28,848","29,433","29,894","30,443","30,801","31,181","31,674","32,274","32,848","33,413","34,076","34,458","34,665","35,247","35,874","36,572","37,263","38,033","38,515","38,897","39,513","40,203","41,094","41,931","42,904","43,583","44,145","45,078","45,923","46,911","47,943","48,871","49,722","50,299","51,200","52,149","53,130","53,993","54,983","55,789","56,253","57,045","58,037","58,998","60,050","61,185","62,061","62,973","63,929","65,110","66,430","67,699","68,917","69,988","71,177","72,273","73,397","74,503","75,512","76,593","77,637","78,599","78,600","80,520","81,649","82,799","83,936","84,854","85,571","86,353","87,280","88,285","89,328","90,403","91,381","92,133","92,976","94,029","95,240","96,474","97,805","98,799","99,595","100,428","101,419","102,558","103,571","104,661","105,464","105,964","106,632","107,494","108,497","109,464","110,706","111,606","112,087","112,798","113,755","114,705","115,620","116,710","117,407","117,761","118,442","119,326","120,207","120,996","121,847","122,531","122,896","123,502","124,284","125,140","125,905","126,757","127,390","127,751","128,356","129,195","129,948","130,653","131,417","131,963","132,270","132,885","133,697","134,466","135,171","135,967","136,538","136,873","137,477","138,301","139,039","139,786","140,639","141,266","141,648","142,308","143,140","143,992","144,763","145,705","146,489","147,034","147,780","148,863","149,975","151,060","152,323","153,417","154,168","155,028","156,286","157,734","159,166","160,652","161,936","162,889","163,853","165,356","166,792","168,285","169,905","171,513","172,836","174,155","176,180","178,250","180,427","182,642","184,586","186,127","187,856","190,320","192,870","195,345","197,916","200,049","201,829","203,791","206,412","208,944","211,497","214,078","216,171","217,834","219,636","221,991","224,552","227,054","229,329","231,268","232,842","234,652","236,832","238,954","240,959","242,881","244,326","245,598","247,159","248,999","250,908","252,675","254,374","255,891","257,201","258,487","260,208","261,868","263,350","264,417","265,254","266,126","267,414","268,902","270,455","271,472","272,745","274,023","275,238","276,517","278,048","279,529","280,877","282,138","283,185","284,074","285,114","286,326","287,535","288,712","289,936","291,021","291,891","292,901","294,451","295,767","296,991","298,274","299,376","300,285","301,490","302,892","304,267","305,652","307,016","308,139"
Philippines,440,440,511,547,547,592,625,660,702,742,774,820,820,903,950,992,"1,050","1,102","1,151","1,194","1,279","1,319","1,379","1,439","1,489","1,580","1,658","1,722","1,732","1,755","1,966","1,966","2,238","2,237","2,369","2,444","2,541","2,626","2,701","2,757","2,809","2,882",8,"3,040","3,115","3,176","3,277","3,346","3,442","3,555","3,644","3,837","3,921","4,031","4,125","4,219","4,229","4,416","4,524","4,626","4,636","4,717","4,902","4,901","5,051","5,299","5,299","5,532","5,633","5,760","5,913","5,913","6,048","6,305","6,466","6,466","6,592","6,888","7,117","7,286","7,286","7,712","7,712","8,082","8,308","8,537","8,755","8,754","9,117","9,283","9,297","9,694","9,938","10,192","10,416","10,660","10,860","11,095","11,337","11,601","11,848","11,848","12,398","12,652","12,967","13,335","13,649","13,986","14,007","14,456","14,736","14,980","15,220","15,528","15,841","16,129","16,340","16,678","16,884","17,671","17,994","18,257","18,563","18,871","19,209","19,704","19,981","20,393","20,737","21,001","21,300","21,658","21,914","22,215","22,517","22,905","23,294","23,600","23,981","24,282","24,635","24,938","25,237","25,508","25,855","26,158","26,474","26,905","27,333","27,676","28,018","28,360","28,799","29,126","29,437","29,967","30,305","30,668","30,936","31,193","31,504","31,921","32,340","32,671","32,972","33,247","33,479","33,772","34,147","34,563","34,897","35,230","35,601","35,886","36,184","36,499","36,829","37,198","37,534","37,896","38,154","38,473","38,796","39,136","39,391","39,671","39,980","40,200","40,447","40,741","41,060","41,356","41,354","42,056","42,300","42,594","42,885","43,196","43,474","43,748","44,052","44,222","44,535","44,831","45,164","45,540","45,827","46,040","46,441","46,693","47,006","47,266","47,549","47,840","48,049","48,331","48,586","48,927","49,177","49,551","49,876","50,160","50,421","50,713","51,072","51,373","51,738","52,032","52,469","52,673","52,962","53,259","53,601","53,920","54,254","54,596","54,862","55,185","55,542","55,834","56,204","56,577","56,828","57,065","57,340","57,628","58,100","58,098","58,715","58,910","58,908","59,493","59,796","60,128","60,290","60,450","60,562","60,741","61,015","61,245","61,403","61,506","61,832","61,946","62,183","62,488","62,767","63,059","63,384","63,663","64,044","64,304","64,624","65,053","65,505","65,811","66,192","66,498","66,765","67,053","67,416","67,828","68,145","68,503","68,766","69,054","69,052","69,735","70,104","70,489","70,813","71,146","71,387","71,716","72,098","72,464","72,797"
Norway,"24,664","25,130","25,763","26,224","26,425","26,798","27,421","28,055","28,614","28,614","28,614","30,310","30,611","31,197","31,835","31,835","31,835","31,835","33,624","34,984","34,984","35,406","36,140","36,140","36,140","37,399","37,858","38,529","39,266","39,947","39,947","39,946","40,257","40,615","41,179","41,178","42,419","42,418","42,417","43,315","43,688","44,278",44,"45,289","45,288","45,287","45,286","46,322","46,321","46,553","47,488","47,487","47,486","48,395","48,792","49,434","50,361","51,162","51,161","51,160","52,748","52,747","54,042","55,061","55,842","55,841","55,840","57,310","57,309","57,774","57,772","57,771","57,770","57,769","61,230","61,712","62,505","62,504","64,227","64,225","64,224","65,596","66,060","67,055","67,862","68,677","68,675","68,674","70,091","70,655","71,552","72,409","73,224","73,223","73,221","74,582","75,099","75,945","76,722","77,531","77,530","77,528","78,840","79,372","80,307","81,275","82,205","82,204","82,202","83,880","83,878","85,767","87,152","88,431","88,429","88,427","91,174","92,123","93,762","93,760","97,753","97,751","97,749","102,576","104,029","105,865","108,447","110,843","110,841","110,839","116,241","118,020","120,446","123,384","126,419","126,416","126,413","126,411","126,408","137,288","137,690","137,687","143,206","143,203","143,200","150,455","153,067","155,727","158,419","158,415","158,412","163,743","165,392","168,185","170,896","173,231","173,227","173,224","173,220","179,065","181,411","184,037","186,167","186,163","186,159","190,491","191,739","193,921","196,125","198,048","198,043","198,039","201,658","203,944","206,054","208,089","209,849","209,845","209,840","213,195","214,499","216,709","218,548","220,485","220,481","220,476","275,171","278,207","281,271","281,265","281,259","281,253","281,247","290,781","290,775","290,769","290,763","290,756","290,750","303,151","303,145","311,329","322,702","323,845","328,603","328,596","328,589","342,278","342,270","350,390","359,087","360,453","360,445","360,437","374,219","374,211","381,767","382,266","386,609","386,600","386,592","398,067","398,059","401,250","408,950","408,941","408,933","408,924","408,915","408,907","421,879","428,941","432,172","432,163","432,154","438,819","441,245","445,124","445,115","445,105","445,096","445,086","459,646","459,636","459,626","459,616","475,023","475,013","475,002","474,992","474,982","474,972","474,962","474,952","474,942","474,932","506,164","506,153","512,373","512,363","512,352","512,341","512,330","525,049","528,674","528,663","540,677","546,680","546,668","546,657","559,177","562,953","562,941","573,577","573,565","573,553","573,540","585,536","588,031","588,018","595,568","598,653","598,641","598,628","605,075","607,683","612,403","616,522","620,289","620,276","620,263","620,249","630,426","630,413","637,476","637,463","637,449"
Czechia,"13,634","14,409","15,177","15,697","16,073","16,679","17,454","18,277","19,014","19,676","20,087","20,401","21,128","21,943","22,606","23,311","23,702","24,062","24,423","25,128","26,008","26,783","27,453","27,888","28,247","28,612","29,334","30,531","31,263","31,955","32,583","32,988","33,298","33,994","34,776","35,468","36,157","36,845","37,349","37,672","38,365","38,985",30,"40,212","40,754","41,069","41,361","41,836","42,437","42,909","43,380","43,742","44,035","44,243","44,717","44,717","45,511","45,871","46,208","46,359","46,505","46,858","47,185","47,562","47,998","48,306","48,478","48,591","48,932","49,363","49,771","50,081","50,539","50,792","50,983","51,452","51,917","52,310","52,770","53,233","53,380","53,546","53,670","54,102","54,560","54,989","55,507","55,753","55,897","56,273","56,666","57,017","57,358","57,726","58,336","58,506","59,046","59,615","60,231","60,750","61,332","61,543","61,702","62,379","63,092","63,811","64,496","65,227","65,682","65,957","66,639","67,408","68,030","68,667","69,422","69,915","70,187","70,762","71,662","72,445","73,142","73,853","74,290","74,570","75,209","75,883","76,565","77,118","77,909","78,418","78,933","79,575","80,413","81,322","82,216","83,189","83,718","84,178","85,029","86,182","87,230","88,304","89,502","90,190","90,664","91,742","93,246","94,687","96,193","97,932","99,172","99,913","101,414","103,133","104,844","107,238","109,278","110,870","111,879","113,608","115,779","117,897","120,033","122,223","123,699","124,686","125,737","127,460","129,376","131,636","133,841","135,274","136,016","137,761","139,511","141,483","143,715","146,993","148,643","149,808","151,710","154,771","158,016","161,148","164,799","167,554","169,295","172,167","175,965","180,082","184,491","188,653","192,085","194,378","197,688","201,985","205,656","209,470","213,599","216,874","219,131","222,020","226,058","230,712","234,840","238,637","241,143","242,457","245,248","248,399","251,666","254,640","257,531","259,129","260,023","262,426","264,075","266,185","268,634","271,093","272,492","273,401","275,586","277,749","280,005","281,914","284,116","285,370","285,999","287,899","290,145","292,195","294,149","296,192","297,665","300,229","302,516","302,927","305,066","307,425","310,092","311,602","312,586","314,799","317,728","320,716","323,460","326,999","328,929","330,174","330,172","335,875","335,874","335,872","341,780","341,778","341,776","341,774","349,622","352,870","355,623","356,358","357,490","358,988","362,054","362,053","369,778","373,321","377,078","357,980","455,803","477,089","490,747","496,533","501,758","507,375","507,373","511,456","517,286","522,675","527,438","532,701","538,483","540,794","542,369","548,342","554,070","559,955","565,144","571,234","573,868","575,849","582,448","588,772","595,575","601,442","607,655"
Australia,"14,902","15,354","15,942","16,510","16,931","17,216","17,743","18,300","18,917","19,383","20,038","20,277","21,020","21,350","22,104","23,093","23,984","24,828","25,499","26,069","27,006","28,335","29,696","31,194","32,466","33,534","34,429","35,648","37,056","38,639","39,888","40,926","41,707","42,642","43,649","44,674","45,968","46,814","48,083","48,884","50,577","52,542",4,"54,867","56,078","57,098","57,790","58,670","59,375","60,203","61,981","62,914","63,558","64,107","64,778","65,925","67,150","68,537","69,948","71,112","71,828","72,354","73,669","74,861","77,060","78,548","80,187","82,612","83,151","84,456","87,373","89,499","91,514","92,330","94,690","95,434","98,012","100,435","102,656","104,582","106,334","107,885","109,785","111,872","113,906","116,271","118,368","119,719","121,970","123,739","125,973","128,731","131,325","133,805","136,138","138,232","140,475","142,721","145,776","148,424","151,032","154,109","155,869","157,770","159,453","162,737","166,011","168,706","170,794","173,362","175,343","177,899","181,419","184,642","186,609","190,253","192,642","195,049","196,998","200,063","202,845","205,119","207,265","208,927","210,694","212,978","215,645","218,449","221,071","223,395","225,388","226,660","230,433","233,803","236,909","239,337","241,409","243,219","244,831","247,343","252,274","255,260","257,925","260,522","261,844","263,174","265,624","268,005","271,051","272,724","274,482","275,320","276,847","278,539","280,631","282,596","284,066","285,377","286,078","287,532","289,226","290,907","292,531","293,969","295,013","295,748","296,777","298,265","300,245","301,724","302,756","303,889","304,759","305,709","306,962","308,645","310,214","311,674","313,014","314,097","315,160","316,967","318,662","320,367","321,974","323,420","324,494","325,612","327,390","329,170","330,860","332,330","333,516","334,724","335,914","337,905","339,923","341,769","343,320","344,660","345,914","347,144","348,946","350,637","352,400","353,943","355,297","356,439","357,731","359,730","361,901","363,486","365,045","366,218","367,081","368,629","370,783","373,199","375,420","377,516","379,188","380,479","381,743","383,743","385,573","387,267","388,457","389,352","390,276","391,310","392,895","394,288","395,457","396,496","397,396","397,943","399,108","400,542","401,846","403,141","404,024","404,945","405,737","406,386","407,636","408,665","409,753","410,916","412,711","415,429","418,119","421,475","425,704","429,112","431,324","432,703","433,846","435,347","436,928","438,907","441,195","443,562","445,290","448,139","451,848","455,745","459,140","461,964","464,894","467,516","470,695","472,650","475,468","477,784","479,954","482,104","483,448","484,648","486,479","488,851","490,742","492,581","494,047","495,291","496,353","497,768","498,896","500,311","502,035","503,390","504,360","505,291","507,061","509,095","511,055","513,005","514,775"
Dominican Republic,"1,127","1,224","1,325","1,436","5,329","1,565","1,683","1,683","1,683","1,962","2,074","2,074","2,210","2,339","2,339","2,339","2,775","2,775","3,077","3,077","3,077","3,407","3,553","3,742","3,928","3,928","3,928","3,928","4,410","4,625","4,625","4,625","4,625","4,625","5,535","5,660","5,660","6,031","6,031","6,423","6,423","6,549",45,"7,098","7,098","7,533","7,533","7,808","7,960","7,960","8,315","8,315","8,718","8,718","8,718","9,227","9,227","9,226","9,885","9,884","10,217","10,384","10,562","10,800","11,003","11,309","11,606","11,874","12,055","12,329","12,536","12,536","13,123","13,465","13,663","13,913","14,208","14,208","14,798","15,092","15,091","15,669","15,668","16,106","16,482","16,797","16,797","17,453","17,453","17,452","18,291","18,583","18,582","19,281","19,633","19,946","19,945","20,507","20,506","20,506","21,675","21,675","22,536","22,748","23,067","23,521","23,964","23,963","23,962","24,732","24,731","25,642","25,963","25,963","26,730","26,729","27,394","27,636","28,038","28,376","28,845","29,245","29,651","29,872","30,072","30,487","30,883","31,286","31,647","31,646","32,220","32,219","32,752","32,999","33,225","33,483","33,789","34,131","34,326","34,612","34,962","34,961","35,996","36,326","36,325","36,816","37,148","37,539","37,538","37,537","38,577","38,828","38,827","38,826","38,825","38,824","40,689","41,045","41,044","41,590","41,895","42,175","42,515","42,514","43,246","43,443","43,590","43,900","44,229","44,572","44,937","45,337","45,621","45,793","46,215","46,557","46,976","47,398","47,744","47,995","48,134","48,624","48,869","49,227","49,545","49,836","50,134","50,339","50,641","50,980","51,325","51,795","52,192","52,446","52,444","53,161","53,540","54,025","54,639","55,007","55,316","55,614","55,949","56,290","56,620","56,887","57,216","57,485","57,802","57,919","58,216","58,799","59,195","59,563","59,884","60,178","60,532","61,069","61,540","62,126","62,640","62,961","63,105","63,418","64,175","64,687","65,279","65,719","65,981","66,169","66,791","67,232","67,756","68,534","69,127","69,484","69,847","70,309","71,070","71,481","72,006","72,565","72,822","73,170","73,549","74,011","74,426","75,064","75,789","76,131","76,648","76,953","77,374","77,985","78,255","78,511","78,696","78,906","79,398","79,787","80,370","80,582","80,703","81,238","81,385","81,546","81,871","82,353","82,984","83,435","83,834","84,333","85,066","85,508","86,071","86,863","87,449","88,085","88,609","89,252","89,976","90,664","91,297","91,982","92,402","92,818","93,275","94,068","94,725","95,760","96,395","96,885","97,379","97,934","98,685","99,398","100,263"
